"AppName","AppURL"
"Screenshot reader","https://chrome.google.com/webstore/detail/enfolipbjmnmleonhhebhalojdpcpdoo"
"Share to Classroom","https://chrome.google.com/webstore/detail/adokjfanaflbkibffcbhihgihpgijcei"
"Google Sites","https://chrome.google.com/webstore/detail/gmandedkgonhldbnjpikffdnneenijnd"
"Simple States","https://chrome.google.com/webstore/detail/lhamphpikioaefcijbclkedoeijgghpf"
"Vagaro","https://chrome.google.com/webstore/detail/kapijpfgckfddljihhlpknbonemdgfik"
"Brilliant","https://chrome.google.com/webstore/detail/eommhbliilafdkodaijeejngbjiiaccl"
"MindMap","https://chrome.google.com/webstore/detail/gdaeohpmcenmffofpikllphdhlkkocfa"
"Visual CV: Online Resume Builder","https://chrome.google.com/webstore/detail/eaficoeoafjilohgbmjkiflobhcbifnl"
"SMART amp","https://chrome.google.com/webstore/detail/fohjhgbmepinpmaeihbbineajkfgnanh"
"AdBlock","https://chrome.google.com/webstore/detail/gighmmpiobklfepjocnamgkkbiglidom"
"Infinity New Tab","https://chrome.google.com/webstore/detail/dbfmnekepjoapopniengjbcpnbljalfg"
"GeoGebra Math Apps","https://chrome.google.com/webstore/detail/bnbaboaihhkjoaolfnfoablhllahjnee"
"Spread3D Review for SketchUp","https://chrome.google.com/webstore/detail/ncjkndlllagaajogioiailncjbmbalci"
"Notebook for Class","https://chrome.google.com/webstore/detail/olgmbcokffmfcoejflbldleogoafmemo"
"Calmly Writer","https://chrome.google.com/webstore/detail/adhdlhedoenicbbncfckobjedmboleig"
"InfoTrac Newsstand","https://chrome.google.com/webstore/detail/dddepnkfocinfaaiopbgllnfajpahfac"
"Evernote Web Clipper","https://chrome.google.com/webstore/detail/pioclpoplcdbaefihamjohnefbikjilc"
"Electronic signatures by PandaDoc","https://chrome.google.com/webstore/detail/ilpbaolnchlngdjpbigjlhbapenjpfdd"
"Gale Researcher","https://chrome.google.com/webstore/detail/lokddmbenfpbpmnpphndhhkecoeodgkf"
"Math Vocab Cards, by The Math Learning Center","https://chrome.google.com/webstore/detail/mbedahlhfedefficmodbeebfcepgejeb"
"Lucidchart Diagrams","https://chrome.google.com/webstore/detail/apboafhkiegglekeafbckfjldecefkhn"
